source,purpose,required_or_optional,consent_requirement,runtime_switch,behavior_when_denied,behavior_after_withdrawal,db_access,test
"apps/server/src/recommendation/diagnostics.controller.ts#RecommendationDiagnosticsController.getOutcomes","recommendation diagnostics consumer","optional","Entire diagnostics surface intentionally disabled because mixed derived rows lack consent epoch/provenance","Both optional switches checked, then explicit provenance-unavailable throw","Returns 503 before any downstream/Prisma optional IO","Remains unavailable after withdrawal/re-consent","ZERO optional DB access from route (assertDiagnosticsAvailable is first statement)","diagnostics.controller.spec.ts; diagnostics-summary.spec.ts"
"apps/server/src/recommendation/diagnostics.controller.ts#RecommendationDiagnosticsController.getFeatureImportance","recommendation diagnostics consumer","optional","Entire diagnostics surface intentionally disabled because mixed derived rows lack consent epoch/provenance","Both optional switches checked, then explicit provenance-unavailable throw","Returns 503 before any downstream/Prisma optional IO","Remains unavailable after withdrawal/re-consent","ZERO optional DB access from route (assertDiagnosticsAvailable is first statement)","diagnostics.controller.spec.ts; diagnostics-summary.spec.ts"
"apps/server/src/recommendation/diagnostics.controller.ts#RecommendationDiagnosticsController.getLifestyle","recommendation diagnostics consumer","optional","Entire diagnostics surface intentionally disabled because mixed derived rows lack consent epoch/provenance","Both optional switches checked, then explicit provenance-unavailable throw","Returns 503 before any downstream/Prisma optional IO","Remains unavailable after withdrawal/re-consent","ZERO optional DB access from route (assertDiagnosticsAvailable is first statement)","diagnostics.controller.spec.ts; diagnostics-summary.spec.ts"
"apps/server/src/recommendation/diagnostics.controller.ts#RecommendationDiagnosticsController.getRecommendationQuality","recommendation diagnostics consumer","optional","Entire diagnostics surface intentionally disabled because mixed derived rows lack consent epoch/provenance","Both optional switches checked, then explicit provenance-unavailable throw","Returns 503 before any downstream/Prisma optional IO","Remains unavailable after withdrawal/re-consent","ZERO optional DB access from route (assertDiagnosticsAvailable is first statement)","diagnostics.controller.spec.ts; diagnostics-summary.spec.ts"
"apps/server/src/recommendation/diagnostics.controller.ts#RecommendationDiagnosticsController.getRecommendationReward","recommendation diagnostics consumer","optional","Entire diagnostics surface intentionally disabled because mixed derived rows lack consent epoch/provenance","Both optional switches checked, then explicit provenance-unavailable throw","Returns 503 before any downstream/Prisma optional IO","Remains unavailable after withdrawal/re-consent","ZERO optional DB access from route (assertDiagnosticsAvailable is first statement)","diagnostics.controller.spec.ts; diagnostics-summary.spec.ts"
"apps/server/src/recommendation/diagnostics.controller.ts#RecommendationDiagnosticsController.getAttribution","recommendation diagnostics consumer","optional","Entire diagnostics surface intentionally disabled because mixed derived rows lack consent epoch/provenance","Both optional switches checked, then explicit provenance-unavailable throw","Returns 503 before any downstream/Prisma optional IO","Remains unavailable after withdrawal/re-consent","ZERO optional DB access from route (assertDiagnosticsAvailable is first statement)","diagnostics.controller.spec.ts; diagnostics-summary.spec.ts"
"apps/server/src/recommendation/diagnostics.controller.ts#RecommendationDiagnosticsController.getExposureMemory","recommendation diagnostics consumer","optional","Entire diagnostics surface intentionally disabled because mixed derived rows lack consent epoch/provenance","Both optional switches checked, then explicit provenance-unavailable throw","Returns 503 before any downstream/Prisma optional IO","Remains unavailable after withdrawal/re-consent","ZERO optional DB access from route (assertDiagnosticsAvailable is first statement)","diagnostics.controller.spec.ts; diagnostics-summary.spec.ts"
"apps/server/src/recommendation/diagnostics.controller.ts#RecommendationDiagnosticsController.getSummary","recommendation diagnostics consumer","optional","Entire diagnostics surface intentionally disabled because mixed derived rows lack consent epoch/provenance","Both optional switches checked, then explicit provenance-unavailable throw","Returns 503 before any downstream/Prisma optional IO","Remains unavailable after withdrawal/re-consent","ZERO optional DB access from route (assertDiagnosticsAvailable is first statement)","diagnostics.controller.spec.ts; diagnostics-summary.spec.ts"
"apps/server/src/recommendation/diagnostics.controller.ts#RecommendationDiagnosticsController.getMetrics","recommendation diagnostics consumer","optional","Entire diagnostics surface intentionally disabled because mixed derived rows lack consent epoch/provenance","Both optional switches checked, then explicit provenance-unavailable throw","Returns 503 before any downstream/Prisma optional IO","Remains unavailable after withdrawal/re-consent","ZERO optional DB access from route (assertDiagnosticsAvailable is first statement)","diagnostics.controller.spec.ts; diagnostics-summary.spec.ts"
"apps/server/src/recommendation/diagnostics.controller.ts#RecommendationDiagnosticsController.getGovernance","recommendation diagnostics consumer","optional","Entire diagnostics surface intentionally disabled because mixed derived rows lack consent epoch/provenance","Both optional switches checked, then explicit provenance-unavailable throw","Returns 503 before any downstream/Prisma optional IO","Remains unavailable after withdrawal/re-consent","ZERO optional DB access from route (assertDiagnosticsAvailable is first statement)","diagnostics.controller.spec.ts; diagnostics-summary.spec.ts"
"apps/server/src/recommendation/diagnostics.controller.ts#RecommendationDiagnosticsController.getReport","recommendation diagnostics consumer","optional","Entire diagnostics surface intentionally disabled because mixed derived rows lack consent epoch/provenance","Both optional switches checked, then explicit provenance-unavailable throw","Returns 503 before any downstream/Prisma optional IO","Remains unavailable after withdrawal/re-consent","ZERO optional DB access from route (assertDiagnosticsAvailable is first statement)","diagnostics.controller.spec.ts; diagnostics-summary.spec.ts"
"apps/server/src/recommendation/diagnostics.controller.ts#RecommendationDiagnosticsController.getReviewReport","recommendation diagnostics consumer","optional","Entire diagnostics surface intentionally disabled because mixed derived rows lack consent epoch/provenance","Both optional switches checked, then explicit provenance-unavailable throw","Returns 503 before any downstream/Prisma optional IO","Remains unavailable after withdrawal/re-consent","ZERO optional DB access from route (assertDiagnosticsAvailable is first statement)","diagnostics.controller.spec.ts; diagnostics-summary.spec.ts"
"apps/server/src/admin/admin-users.service.ts#AdminUsersService.list","admin user roster + optional activity consumer","mixed","GAP: role auth only; no optional runtime/current-consent population for event/favorite/meal-plan counts or last activity","GAP: no optional switch","GAP: reads optional counts/UserEvent while OFF","GAP: withdrawn users' historical activity remains exposed","READ User with event/favorite/mealPlan counts; GROUP UserEvent","admin-users.service.spec.ts; GAP: optional boundary test absent"
"apps/server/src/admin/admin-users.service.ts#AdminUsersService.detail","admin user dossier consumer","mixed_sensitive","GAP: role auth/audit only; optional budget/cuisines/healthGoals/counts/recent UserEvent have no current-purpose gate","GAP: no optional switch","GAP: exposes optional-derived/user behavior data while OFF","GAP: withdrawal/re-consent does not filter old dossier activity","READ UserPreference/UserAllergy/Cuisine/HealthGoal/UserEvent/Session counts","admin-users.service.spec.ts; GAP: optional boundary test absent"
"apps/server/src/experimentation/experiment-engine.service.ts#ExperimentEngine.getWeights","personalized experiment assignment consumer/producer","optional","Current analytics+personalization max grant epoch required; existing assignment.createdAt must be at/after epoch; expected caller epoch must match","Both optional switches via ConsentService.currentGrantEpoch","Returns null before Experiment/ExperimentAssignment IO","Rechecks after read and before/after create; deletes only newly-created assignment if epoch changes; GAP: final-check race and compensating-delete failure remain","READ Experiment/ExperimentAssignment; CREATE/targeted DELETE ExperimentAssignment","experiment-engine.service.spec.ts epoch/read/write/compensation cases"
"apps/server/src/recommendation/pipeline/recipe-prior.service.ts#RecipePriorService.valuesForSlate","learned recommendation prior consumer","optional","GAP: no analytics/personalization consent or grant epoch; reads person/cohort/population prior plus user facets when L1 flag enabled","L1_RECIPE_PRIOR_ENABLED default OFF only; no canonical optional switches","Returns null while L1 flag OFF/empty/adapter absent; if enabled while optional runtimes OFF it still reads","GAP: withdrawn/re-granted user can consume old person/cohort priors; source contract has no evidence timestamp, so frozen RankingService currently refuses to consume it","READ User preferences + RecipePrior","recipe-prior.service.spec.ts covers L1 flag/read math; GAP: consent/epoch tests absent"
"apps/server/src/recommendation/pipeline/recipe-prior-learner.service.ts#RecipePriorLearnerService.scheduled/refresh","population/cohort/person recommendation prior producer","optional","GAP: scheduled path has L1 flag only; public refresh has no runtime/current-consent population/provenance/epoch gate","L1_RECIPE_PRIOR_LEARN_ENABLED default OFF on scheduled only; no analytics/personalization switches","Scheduled OFF no-ops; GAP: direct refresh still reads/writes optional populations","GAP: withdrawal/re-grant does not exclude old served/attribution/cook/user-facet rows; no final consent recheck and person priors persist","READ RecommendationServedItem/Attribution/UserEvent/User preferences; UPSERT RecipePrior","recipe-prior-learner.service.spec.ts covers math only; GAP: runtime/consent/epoch tests absent"
"apps/server/src/admin/admin-users.service.ts#stats/reveal/sessions","admin core/security consumer","required_operational","Role-authorized and audited admin action","No optional switch","Core account/security operations remain available","Withdrawal irrelevant; PII access audit remains required","READ User/UserSession; no optional behavior needed","admin-users.service.spec.ts; admin controller audit tests"
"apps/server/src/admin/admin-users.service.ts#export/remove","legal export/erasure owner","required_legal","Audited admin legal workflow; data-subject/controller authority","No optional switch","Export/erasure remain available regardless optional choice","Export shows retained own data; erase cascades optional state","CALL UserExportService/ErasureService","admin-users.service.spec.ts; export/erasure service specs"
